title,first name,last name,email,mobile,phone,fax,company name,website,Number of employee,lead source,lead status,annual revenue,rating,address1,address2,city distt,country,state province,pincode,description,feedback
,,,,9308009619,9308009619,,Heritage International School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
,,,,6562290939,6562290939,,"Sacred Heart School, Chianki",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not connect,
,,,,8409795531,8409795531,,R.K.S.S.G.P.H +2 HIGH SCHOOL,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,out of network,
,,,,6562290237,6562290237,,M K DAV Public School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not connect,
,,,,9572142843,9572142843,,Vimla Pandey Memorial Gyan Niketan School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,out of network,
,,,,9430326819,9430326819,,Orient Public School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
,,,,8434528110,8434528110,,Bright Land School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not connect,
,,,,8409336221,8409336221,,"Aditya Birla Public School, Rehla",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,out of network,
,,,,9771347388,9771347388,,Bal Bharti Public School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,already have,
,,,,9771021663,9771021663,,A A HIGH SCHOOL GURIYADAMAR PALAMU,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,WRONG NUMBER,
,,,,9471388665,9471388665,,"Gyan Ganga Pub School Chainpur,palamu",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,school is being shutdown,
,,,,6584290069,6584290069,,"Bhagmani Chandravansi Public School, Palamu",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,invalid number,
,,,,6562223215,6562223215,,"Elite Public School, Palamu",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,invalid number,
,,,,6562222456,6562222456,,"Jawahar Navodaya Vidyalaya, Palamu",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,,
,,,,6562222252,6562222252,,"Rotary School, Palamu",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,invalid number,
,,,,6512704790,651270479,,"Mata Draupadi Namdhari Gobind Singh Public School, Palamu",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,invalid number,
,,,,9631102701,9631102701,,Project Harivansh Narayan Girls High School Panki,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,govt school,
,,,,6562225423,6562225423,,Girls Middle School Panki,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,govt school,
,,,,9525459075,9525459075,,"Saraswati Shishu Mandir, panki",,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not connect,
,,,,7479631764,7479631764,,ARYAN PUBLIC SCHOOL PANKI,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
,,,,9431308276,9431308276,,ST. Mariam's School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
,,,,7352231890,7352231890,,Baralota school,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,,
,,,,9430303960,9430303960,,Green valley public school,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,switch off,
,,,,8084688745,8084688745,,RBSN Public School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,concern person is not available,
,,,,8084688745,8084688745,,Residential Bal Shiksha Niketen High School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,school has been closed call on Monday,
,,,,9470337772,9470337772,,Pragya Ashram Residential School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
,,,,9709042198,9709042198,,Rk Global Public School Daltonganj ,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,waiting,
,,,,9576699662,9576699662,,Lilliput....A Play School Daltonganj,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,call later she is out side,
,,,,9128420290,9128420290,,SVD Global School Daltonganj,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,demo at 1.30pm,
,,,,7979836503,7979836503,,R K Sarvodaya Girls High School Daltonganj,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,WRONG NUMBER,
,,,,8252190058,8252190058,,MDM Residential Public school Daltonganj,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
,,,,9431554633,9431554633,,New Vision Public School Daltonganj,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
